cohort,source_count,encoder,contrast,metric,paired_difference,ci95_low,ci95_high,participant_win_fraction,participants
oasis,8,qsf,selected_bounded_residual minus template_selected_bounded_residual,normalized_rmse,0.04809704653061822,0.04701239656939136,0.049396490390580805,0.0,461
oasis,8,qsf,selected_bounded_residual minus template_selected_bounded_residual,normalized_mse,0.005784026972904445,0.005448342664245783,0.006205686040262655,0.0,461
oasis,8,heat_raw18,selected_robust minus random_robust,normalized_rmse,-0.01194880212817285,-0.012417912826405154,-0.01146659361966763,0.9891540130151844,461
oasis,8,heat_raw18,selected_robust minus random_robust,normalized_mse,-0.002529163603277503,-0.0026942293729762456,-0.002383847019114358,0.9891540130151844,461
oasis,8,heat_raw18,random_robust minus random_ordinary,normalized_rmse,-0.0013967133754128312,-0.0016745073621275799,-0.0011673356939123462,0.8199566160520607,461
oasis,8,heat_raw18,random_robust minus random_ordinary,normalized_mse,-0.0003927497127334717,-0.0005478114637803021,-0.00028169309176065866,0.8156182212581344,461
oasis,8,heat_raw18,ordinary_selected minus random_ordinary,normalized_rmse,-0.012432710821104656,-0.013008547366999076,-0.011820388318048991,0.9804772234273319,461
oasis,8,heat_raw18,ordinary_selected minus random_ordinary,normalized_mse,-0.002546989909564961,-0.0027761934829412926,-0.0022704176487139166,0.982646420824295,461
oasis,8,heat_raw18,selected_sources_ordinary minus random_ordinary,normalized_rmse,-0.012055327922210667,-0.012634485047107546,-0.011428031443117832,0.982646420824295,461
oasis,8,heat_raw18,selected_sources_ordinary minus random_ordinary,normalized_mse,-0.0024742035450763178,-0.0027098041965491573,-0.00216724061783321,0.982646420824295,461
oasis,8,heat_raw18,selected_robust minus selected_sources_ordinary,normalized_rmse,-0.0012901875813750136,-0.0018077229908365893,-0.000884359563417069,0.7678958785249458,461
oasis,8,heat_raw18,selected_robust minus selected_sources_ordinary,normalized_mse,-0.0004477097709346572,-0.0007619233091044347,-0.00021544483637059368,0.7657266811279827,461
