cohort,source_count,encoder,policy,graph,scaling,family,equal_participant_nrmse,equal_participant_nmse,row_mean_nrmse,p95,p99,maximum,rows_above_one,participants,records
hcp83,16,qsf,heat_discrimination,individual,tanh3,ordinary,0.11176754556383629,0.012971318367867956,0.11184394956813394,0.14699942682958644,0.16233327982996043,0.1925119572203792,0,729,3189
hcp83,16,qsf,heat_discrimination,individual,tanh3,projection,0.11176692440087316,0.012971141506273744,0.11184349709129611,0.14699942682958644,0.16233327982996043,0.1925119572203792,0,729,3189
hcp83,16,qsf,heat_discrimination,individual,tanh3,residual,0.10951178083509014,0.012465153361364814,0.1095584589730171,0.144041767615923,0.15646094507002192,0.1861285840897738,0,729,3189
hcp83,16,qsf,spatial,individual,tanh3,bounded_residual,0.11068180102766079,0.012667489518831896,0.11072202062840077,0.14194800552838371,0.15477516291953827,0.1825668707775598,0,729,3189
hcp83,16,qsf,spatial,individual,tanh3,ordinary,0.11374509484222291,0.013378785645721494,0.11381527060030307,0.14720312322699985,0.16198789638516234,0.3293318344392983,0,729,3189
hcp83,16,qsf,spatial,individual,tanh3,projection,0.11353301425271092,0.013319785856861843,0.11358946121084845,0.1471918911792087,0.16276815324729185,0.1885035223265347,0,729,3189
hcp83,16,qsf,spatial,individual,tanh3,residual,0.1107947129758578,0.01269982368605287,0.11085005444390517,0.14194800552838371,0.15468802037385954,0.3215998867502028,0,729,3189
hcp83,16,heat_raw18,random,individual,tanh3,bounded_residual,0.1346045522424176,0.018528240273574276,0.13464464951173952,0.16815617377393743,0.18569081491435627,0.2376884287225366,0,729,3189
hcp83,16,heat_raw18,random,individual,tanh3,ordinary,0.13818343019361531,0.019537329168104065,0.13821728113898052,0.17346847571460483,0.19229136772321515,0.2718794939010002,0,729,3189
hcp83,16,heat_raw18,random,individual,tanh3,projection,0.1376717840429431,0.019379928090612626,0.13771390287208166,0.1729628459356755,0.19076432019519557,0.2586001170612598,0,729,3189
hcp83,16,heat_raw18,random,individual,tanh3,residual,0.1350636847952997,0.018662700101135275,0.13510040673477672,0.16885969855021513,0.18668905250493462,0.2670375163678818,0,729,3189
hcp83,16,heat_raw18,graph_coverage,individual,tanh3,bounded_residual,0.1523027180868424,0.02351387409280861,0.1524945905995509,0.18418354929954814,0.20545761877247176,0.3483793652856022,0,729,3189
hcp83,16,heat_raw18,graph_coverage,individual,tanh3,ordinary,0.15636237320310076,0.02481045171698521,0.15649208758424876,0.18957809632275552,0.20911363925535664,0.3403502706610494,0,729,3189
hcp83,16,heat_raw18,graph_coverage,individual,tanh3,projection,0.15589013363014806,0.024641971495967103,0.15605104970445205,0.18916682513342523,0.21028595861890756,0.3315811861081877,0,729,3189
hcp83,16,heat_raw18,graph_coverage,individual,tanh3,residual,0.152777921788936,0.023676043838108996,0.15293665105888807,0.18415768935655774,0.20511026623976497,0.3506068554948826,0,729,3189
hcp83,16,heat_raw18,sfh_fixed,individual,tanh3,bounded_residual,0.14722727171103758,0.022048842765382885,0.1473767966334624,0.1798540215303194,0.19978733012716707,0.4045000644978824,0,729,3189
hcp83,16,heat_raw18,sfh_fixed,individual,tanh3,ordinary,0.15070325571345036,0.023073097260528717,0.15081582333023927,0.18385990787449286,0.20262056021376457,0.3332378840396551,0,729,3189
hcp83,16,heat_raw18,sfh_fixed,individual,tanh3,projection,0.15040331662296266,0.022981820952901272,0.1505022416222202,0.1833655820473694,0.20262056021376457,0.3332378840396551,0,729,3189
hcp83,16,heat_raw18,sfh_fixed,individual,tanh3,residual,0.147495782420012,0.02212460292656386,0.14765626868896678,0.1804860214417496,0.1997897108071733,0.4045000644978824,0,729,3189
hcp83,16,heat_raw18,spectral,individual,tanh3,bounded_residual,0.12542649278720194,0.01607907999272543,0.12554747905432817,0.1556827922504522,0.16864109505576358,0.1972860209436453,0,729,3189
hcp83,16,heat_raw18,spectral,individual,tanh3,ordinary,0.1285137408108288,0.01688107332548788,0.12862940960496347,0.15935221934351912,0.17361204796140653,0.2031956424962342,0,729,3189
hcp83,16,heat_raw18,spectral,individual,tanh3,projection,0.12813501066826766,0.016773781840689797,0.12824201729889573,0.1584718787900558,0.1720374500212516,0.1978892233035725,0,729,3189
